GLN,Namn,Avdelning,Gatuadress,Postbox,Postnummer och ort,Sökattribut,Id,Leveransplats,string_address,coordinates,latitude,longitude
7381020441688,Behandlingsenheten,,,Storgatan 22,311 30 Falkenberg,,7381020441688,,"Behandlingsenheten, Storgatan 22, 311 30 Falkenberg","(56.9046015, 12.4942901)",56.9046015,12.4942901
7381020442784,Bemmaningsenheten,,,Möllegatan 11 B,311 34 Falkenberg,,7381020442784,,"Bemmaningsenheten, Möllegatan 11 B, 311 34 Falkenberg","(56.9043504, 12.4867241)",56.9043504,12.4867241
7381020440773,Berguven,Särskilt boende,,Berguvsvägen 9,311 39 Falkenberg,,7381020440773,,"Berguven, Berguvsvägen 9, 311 39 Falkenberg","(56.9118769, 12.4731327)",56.9118769,12.4731327
7381020442173,Beroendeenheten,,,Nygatan 64,311 74 Falkenberg,,7381020442173,,"Beroendeenheten, Nygatan 64, 311 74 Falkenberg","(56.8992958, 12.4913029)",56.8992958,12.4913029
7381020441718,Bibliotek och allmänkultur,,,Holgersgatan 7,311 35 Falkenberg,,7381020441718,,"Bibliotek och allmänkultur, Holgersgatan 7, 311 35 Falkenberg","(56.90619659999999, 12.4907535)",56.90619659999999,12.4907535
7381020442029,Bild o Data,Funktionsstöd,,Murarevägen 43,311 36 Falkenberg,,7381020442029,,"Bild o Data, Murarevägen 43, 311 36 Falkenberg","(56.91159690000001, 12.4975428)",56.91159690000001,12.4975428
7381020441084,Biståndsenheten,,,Kanslistvägen 10,311 39 Falkenberg,,7381020441084,,"Biståndsenheten, Kanslistvägen 10, 311 39 Falkenberg","(56.915009, 12.4959264)",56.915009,12.4959264
7381020440186,Björkhaga,Köket,,Björkgatan 3,310 50 Slöinge,,7381020440186,,"Björkhaga, Björkgatan 3, 310 50 Slöinge","(56.8554299, 12.6860963)",56.8554299,12.6860963
7381020441879,"Boendestöd, Enhetsområde 5",Funktionsstöd,,Nygatan 64,311 74 Falkenberg,,7381020441879,,"Boendestöd, Enhetsområde 5, Nygatan 64, 311 74 Falkenberg","(56.8992958, 12.4913029)",56.8992958,12.4913029
7381020441893,"Boendestöd, Enhetsområde 7",Funktionsstöd,,Nygatan 64,311 74 Falkenberg,,7381020441893,,"Boendestöd, Enhetsområde 7, Nygatan 64, 311 74 Falkenberg","(56.8992958, 12.4913029)",56.8992958,12.4913029
7381020441176,Boken,Köket,,Södergatan 20 B,311 32 Falkenberg,,7381020441176,,"Boken, Södergatan 20 B, 311 32 Falkenberg","(56.8982878, 12.4875741)",56.8982878,12.4875741
7381020441732,Boken,Särskilt boende,,Södergatan 22,311 73 Falkenberg,,7381020441732,,"Boken, Södergatan 22, 311 73 Falkenberg","(56.8984185, 12.4871108)",56.8984185,12.4871108
